Country,Country_pt,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis
Argentina,Argentina,South America,2000,17.5,19.6,139.3255,7.68,73,56,26.1,88,83,0.16,10731,36.87,1.2,1.1,9.1,0,1,73.6,591,7516,2081,1779,6,920,2544,399,1753,42,1045,91977,17874,6168,999,4394,19,760,94,67318,0,9715,11362,278,1693,5439,14803,5971,12632,717,55
Argentina,Argentina,South America,2001,16.9,18.9,137.696,7.76,73,56,26.2,85,83,0.16,10146,37.28,1.2,1.1,9.1,0,1,73.8,576,7763,2125,1806,6,915,2581,437,1767,45,1007,91810,19379,6002,943,4546,33,745,66,68241,0,9807,11823,274,1718,5486,15184,6040,12830,714,53
Argentina,Argentina,South America,2002,16.4,18.3,136.066,7.81,66,83,26.3,94,93,0.15,8943,37.68,1.2,1,9.2,0,1,73.9,586,8016,2182,1903,5,893,2691,473,1829,46,1001,93054,20952,6218,896,4600,21,759,62,69686,0,9917,12360,286,1810,5504,15645,6171,13140,715,49
Argentina,Argentina,South America,2003,15.8,17.7,134.5355,7.62,73,80,26.4,95,96,0.15,9630,38.09,1.2,1,9.3,0,1,74.1,591,8268,2246,1886,5,836,2430,460,1878,44,969,93723,22545,6186,888,4463,32,736,60,70855,0,10038,12674,288,1792,5531,16143,6255,13399,711,49
Argentina,Argentina,South America,2004,15.3,17.1,133.0055,7.63,81,93,26.5,91,98,0.15,10389,38.49,1.1,1,9.2,0,1,74.3,577,8476,2249,1751,5,766,2061,448,1747,44,906,91239,23215,5763,865,4290,7,686,58,70656,0,9835,12517,294,1664,5506,16012,6171,13287,694,48
Argentina,Argentina,South America,2005,14.8,16.5,131.475,7.6,88,88,26.6,95,98,0.15,11192,38.89,1.1,1,9.1,0,1,74.5,561,8710,2257,1614,4,737,1957,429,1620,46,861,89381,23776,5141,860,4283,14,651,59,70761,0,9627,12468,305,1536,5622,15961,6242,13363,731,45
Argentina,Argentina,South America,2006,14.4,16.1,129.945,7.8,84,91,26.7,92,91,0.15,11971,39.29,1.1,0.9,9,0,1,74.6,552,9010,2308,1537,4,718,2242,450,1692,49,834,89434,24781,4872,857,4310,3,643,56,71641,0,9476,12676,291,1461,5801,16102,6414,13639,705,43
Argentina,Argentina,South America,2007,14,15.7,128.4145,8.16,85,84,26.8,92,91,0.15,12919,39.68,1.1,0.9,8.9,0,1,74.8,554,9368,2408,1514,4,718,1894,467,1727,52,835,91606,26506,5055,864,4504,14,650,93,73495,0,9603,13170,306,1440,6094,16808,6743,14194,734,41
Argentina,Argentina,South America,2008,13.7,15.3,126.9785,8.42,90,88,26.9,94,93,0.15,13311,40.08,1,0.9,8.9,0,1,75,552,9633,2397,1417,4,695,2340,438,1714,54,796,89122,26764,5055,843,4549,11,649,54,72954,0,9193,12992,296,1349,6202,16506,6720,14143,718,39
Argentina,Argentina,South America,2009,13.3,14.9,125.542,8.34,94,96,27,97,94,0.14,12398,40.48,1,0.9,9.3,0,1,75.1,556,9999,2442,1368,4,668,2399,489,1721,57,783,89543,27964,4849,812,4574,22,660,52,73515,0,9151,13172,296,1304,6281,16632,6828,14370,716,37
Argentina,Argentina,South America,2010,12.9,14.5,124.1055,8.15,94,94,27.1,95,94,0.14,13551,40.79,1,0.9,9.8,0,1,75.3,558,10411,2544,1352,0,652,2452,440,1651,60,760,91734,29690,4794,775,4584,7,687,52,74506,0,9202,13550,294,1284,6349,17202,6977,14748,717,35
Argentina,Argentina,South America,2011,12.4,13.9,122.669,7.69,91,91,27.2,93,91,0.14,14200,41.26,1,0.9,9.8,0,1,75.4,554,10756,2603,1320,0,636,2535,418,1611,65,755,92474,31052,4622,751,4680,2,710,48,75294,0,9237,13762,295,1250,6449,17508,7179,15121,715,35
Argentina,Argentina,South America,2012,11.9,13.3,121.2325,8,91,89,27.3,90,91,0.14,13896,41.73,1,0.9,9.8,0,1,75.6,490,11042,2643,1290,0,625,2743,391,1733,68,745,92630,32009,4332,732,4782,4,723,48,75967,0,9237,13942,294,1218,6551,17593,7383,15460,703,34
Argentina,Argentina,South America,2013,11.3,12.7,119.885,8.27,94,83,27.4,90,94,0.14,14072,42.2,1,0.9,9.8,0,1,75.8,476,11296,2696,1269,0,607,2847,384,1747,72,753,93311,33579,4281,718,4841,58,745,48,76594,0,9296,14190,294,1199,6639,17668,7558,15855,694,34
Argentina,Argentina,South America,2014,10.8,12.1,118.5375,7.93,94,96,27.5,92,94,0.13,13568,42.67,1,0.9,9.8,0,1,75.9,472,11480,2740,1245,0,583,2959,395,1766,74,744,93640,34668,4216,723,4805,8,766,46,76832,0,9334,14289,283,1176,6514,17789,7659,16158,673,35
Argentina,Argentina,South America,2015,10.2,11.5,117.1895,8.49,94,87,27.6,93,94,0.13,13789,43.13,1,0.9,9.8,0,1,76.1,469,11651,2831,1263,0,563,2905,398,1765,78,740,95955,36109,3831,728,4773,17,781,45,78388,0,9655,14607,274,1189,6394,18280,7950,16770,661,35
Australia,Austrália,Oceania,2000,5.1,6.2,77.0385,10.17,95,85,26.2,90,90,0.04,45559,19.15,0.7,0.7,11.9,1,0,79.2,79,5658,1354,124,0,243,340,17,162,896,82,48690,2838,651,412,2584,3,80,37,37009,1,3030,2405,55,94,2050,7587,1437,4219,143,10
Australia,Austrália,Oceania,2001,5,6.1,73.7145,9.53,94,85,26.3,91,92,0.04,45865,19.41,0.7,0.7,11.9,1,0,79.6,78,5935,1417,125,0,233,338,17,146,782,84,48397,2940,640,418,2502,4,87,34,37485,4,3134,2502,49,97,1973,7608,1466,4307,122,10
Australia,Austrália,Oceania,2002,5,6,71.935,9.84,95,85,26.4,92,92,0.04,47127,19.65,0.7,0.7,11.8,1,0,79.9,75,6213,1494,132,0,225,324,17,133,752,81,48557,3097,632,431,2449,1,97,35,38098,0,3292,2632,50,102,1930,7743,1532,4482,160,11
Australia,Austrália,Oceania,2003,4.9,5.9,69.879,9.97,95,86,26.5,92,93,0.05,47997,19.9,0.7,0.7,11.8,1,0,80.2,73,6470,1552,134,0,216,304,13,134,767,78,47950,3181,620,442,2426,3,106,38,37909,0,3419,2718,54,104,1890,7735,1581,4581,144,11
